,act_2017state,act_2017participation,act_2017english,act_2017math,act_2017reading,act_2017science,act_2017composite,sat_2017state,sat_2017participation,sat_2017evidence-based_reading_and_writing,sat_2017math,sat_2017total,act_2018state,act_2018participation,act_2018composite,sat_2018state,sat_2018participation,sat_2018evidence-based_reading_and_writing,sat_2018math,sat_2018total
0,Alabama,100.0,18.9,18.4,19.7,19.4,19.2,Alabama,5.0,593,572,1165,Alabama,100.0,19.1,Alabama,6.0,595,571,1166
1,Alaska,65.0,18.7,19.8,20.4,19.9,19.8,Alaska,38.0,547,533,1080,Alaska,33.0,20.8,Alaska,43.0,562,544,1106
2,Arizona,62.0,18.6,19.8,20.1,19.8,19.7,Arizona,30.0,563,553,1116,Arizona,66.0,19.2,Arizona,29.0,577,572,1149
3,Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,Arkansas,3.0,614,594,1208,Arkansas,100.0,19.4,Arkansas,5.0,592,576,1169
4,California,31.0,22.5,22.7,23.1,22.2,22.8,California,53.0,531,524,1055,California,27.0,22.7,California,60.0,540,536,1076
5,Colorado,100.0,20.1,20.3,21.2,20.9,20.8,Colorado,11.0,606,595,1201,Colorado,30.0,23.9,Colorado,100.0,519,506,1025
6,Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,Connecticut,100.0,530,512,1041,Connecticut,26.0,25.6,Connecticut,100.0,535,519,1053
7,Delaware,18.0,24.1,23.4,24.8,23.6,24.1,Delaware,100.0,503,492,996,Delaware,17.0,23.8,Delaware,100.0,505,492,998
8,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,District of Columbia,100.0,482,468,950,District of Columbia,32.0,23.6,District of Columbia,92.0,497,480,977
9,Florida,73.0,19.0,19.4,21.0,19.4,19.8,Florida,83.0,520,497,1017,Florida,66.0,19.9,Florida,56.0,550,549,1099
10,Georgia,55.0,21.0,20.9,22.0,21.3,21.4,Georgia,61.0,535,515,1050,Georgia,53.0,21.4,Georgia,70.0,542,522,1064
11,Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,Hawaii,55.0,544,541,1085,Hawaii,89.0,18.9,Hawaii,56.0,480,530,1010
12,Idaho,38.0,21.9,21.8,23.0,22.1,22.3,Idaho,93.0,513,493,1005,Idaho,36.0,22.3,Idaho,100.0,508,493,1001
13,Illinois,93.0,21.0,21.2,21.6,21.3,21.4,Illinois,9.0,559,556,1115,Illinois,43.0,23.9,Illinois,99.0,513,506,1019
14,Indiana,35.0,22.0,22.4,23.2,22.3,22.6,Indiana,63.0,542,532,1074,Indiana,32.0,22.5,Indiana,63.0,542,532,1074
15,Iowa,67.0,21.2,21.3,22.6,22.1,21.9,Iowa,2.0,641,635,1275,Iowa,68.0,21.8,Iowa,3.0,634,631,1265
16,Kansas,73.0,21.1,21.3,22.3,21.7,21.7,Kansas,4.0,632,628,1260,Kansas,71.0,21.6,Kansas,4.0,633,631,1265
17,Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,Kentucky,4.0,631,616,1247,Kentucky,100.0,20.2,Kentucky,4.0,630,618,1248
18,Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,Louisiana,4.0,611,586,1198,Louisiana,100.0,19.2,Louisiana,4.0,615,595,1210
19,Maine,8.0,24.2,24.0,24.8,23.8,24.3,Maine,95.0,513,499,1012,Maine,7.0,24.0,Maine,99.0,512,501,1013
20,Maryland,28.0,23.3,23.1,24.2,2.3,23.6,Maryland,69.0,536,524,1060,Maryland,31.0,22.5,Maryland,76.0,545,535,1080
21,Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,Massachusetts,76.0,555,551,1107,Massachusetts,25.0,25.5,Massachusetts,80.0,562,563,1125
22,Michigan,29.0,24.1,23.7,24.5,23.8,24.1,Michigan,100.0,509,495,1005,Michigan,22.0,24.4,Michigan,100.0,511,499,1011
23,Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,Minnesota,3.0,644,651,1295,Minnesota,99.0,21.3,Minnesota,4.0,643,655,1298
24,Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,Mississippi,2.0,634,607,1242,Mississippi,100.0,18.6,Mississippi,3.0,630,606,1236
25,Missouri,100.0,19.8,19.9,20.8,20.5,20.4,Missouri,3.0,640,631,1271,Missouri,100.0,20.0,Missouri,4.0,633,629,1262
26,Montana,100.0,19.0,20.2,21.0,20.5,20.3,Montana,10.0,605,591,1196,Montana,100.0,20.0,Montana,10.0,606,592,1198
27,Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,Nebraska,3.0,629,625,1253,Nebraska,100.0,20.1,Nebraska,3.0,629,623,1252
28,Nevada,100.0,16.3,18.0,18.1,18.2,17.8,Nevada,26.0,563,553,1116,Nevada,100.0,17.7,Nevada,23.0,574,566,1140
29,New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,New Hampshire,96.0,532,520,1052,New Hampshire,16.0,25.1,New Hampshire,96.0,535,528,1063
30,New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,New Jersey,70.0,530,526,1056,New Jersey,31.0,23.7,New Jersey,82.0,547,547,1094
31,New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,New Mexico,11.0,577,561,1138,New Mexico,66.0,19.4,New Mexico,16.0,552,540,1093
32,New York,31.0,23.8,24.0,24.6,23.9,24.2,New York,67.0,528,523,1052,New York,27.0,24.5,New York,79.0,534,534,1068
33,North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,North Carolina,49.0,546,535,1081,North Carolina,100.0,19.1,North Carolina,52.0,554,543,1098
34,North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,North Dakota,2.0,635,621,1256,North Dakota,98.0,20.3,North Dakota,2.0,640,643,1283
35,Ohio,75.0,21.2,21.6,22.5,22.0,22.0,Ohio,12.0,578,570,1149,Ohio,100.0,20.3,Ohio,18.0,552,547,1099
36,Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,Oklahoma,7.0,530,517,1047,Oklahoma,100.0,19.3,Oklahoma,8.0,541,521,1062
37,Oregon,40.0,21.2,21.5,22.4,21.7,21.8,Oregon,43.0,560,548,1108,Oregon,42.0,21.3,Oregon,48.0,564,553,1117
38,Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,Pennsylvania,65.0,540,531,1071,Pennsylvania,20.0,23.5,Pennsylvania,70.0,547,539,1086
39,Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,Rhode Island,71.0,539,524,1062,Rhode Island,15.0,24.2,Rhode Island,97.0,513,505,1018
40,South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,South Carolina,50.0,543,521,1064,South Carolina,100.0,18.3,South Carolina,55.0,547,523,1070
41,South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,South Dakota,3.0,612,603,1216,South Dakota,77.0,21.9,South Dakota,3.0,622,618,1240
42,Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,Tennessee,5.0,623,604,1228,Tennessee,100.0,19.6,Tennessee,6.0,624,607,1231
43,Texas,45.0,19.5,20.7,21.1,20.9,20.7,Texas,62.0,513,507,1020,Texas,41.0,20.6,Texas,66.0,520,512,1032
44,Utah,100.0,19.5,19.9,20.8,20.6,20.3,Utah,3.0,624,614,1238,Utah,100.0,20.4,Utah,4.0,480,530,1010
45,Vermont,29.0,23.3,23.1,24.4,23.2,23.6,Vermont,60.0,562,551,1114,Vermont,24.0,24.1,Vermont,64.0,565,554,1120
46,Virginia,29.0,23.5,23.3,24.6,23.5,23.8,Virginia,65.0,561,541,1102,Virginia,24.0,23.9,Virginia,68.0,567,550,1117
47,Washington,29.0,20.9,21.9,22.1,22.0,21.9,Washington,64.0,541,534,1075,Washington,24.0,22.2,Washington,69.0,543,538,1081
48,West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,West Virginia,14.0,558,528,1086,West Virginia,65.0,20.3,West Virginia,28.0,513,486,999
49,Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,Wisconsin,3.0,642,649,1291,Wisconsin,100.0,20.5,Wisconsin,3.0,641,653,1294
50,Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,Wyoming,3.0,626,604,1230,Wyoming,100.0,20.0,Wyoming,3.0,633,625,1257
